First name	Middle initial(s)	Last name	2nd affiliation	3rd affiliation	osf_id	twitter	mattermost	As co-author, I have read and approve submission of this manuscript	participated in event (for example: led or joined a hackathon project)	organized or helped organizing an event	taught at event (for example: traintrack)	attended any general group meetings of this project	attended any core group meetings of this project	led general group meetings	led core group meetings	prepared meeting venue (zoom) (for any meeting)	prepared meeting agenda	managed meeting times (doodle)	took notes in meeting	monitored chat in meeting	prepared or emailed meeting summaries to the group	contributed to paper brainstorm	attended section group meetings	wrote original section content	revised for a section	created figures	created tables, glossary	gathered data	performed master editing	performed internal review	responded to internal review and revised manuscript	participated in the jupyter book creation	prepared / gave presentations at Brainhack global events	preprint dissemination	List the brainhack events you participated at and/or helped organized and/or taught at.	projects	reproducibility	trainings	community / collaboration	better code	Feel free to add any other information regarding your contribution.	ranking	joint_first	Author_ID
Pierre		Bellec	Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal / Université de Montréal / Montréal, QC / Canada		jbf6t	pierre_bellec	pierre.bellec	X	X	X	X	X																					X		Leipzig 2012; Paris 2013; Berlin 2014; Montreal 2016-20; Lausanne 2016; Vancouver 2017; Rome 2019; brainhackschool 2018-20; ...						co-founded Brainhack (2012), OS SIG HBM (2016), Brainhack School (2018); editor Brainhack proceedings (2015, 2016, 2021); ...	1013		142
R. Austin		Benn				neurabenn	neurabenn	X	X	X	X	X																							BrainHack Madrid, The BrainWeb							1014		72
Kathryn		Berluti																																								1015		156
Steffen		Bollmann	Centre for Advanced Imaging / The University of Queensland / Brisbane / Australia		cq5sm	sbollmann_MRI	sbollmann_mri	X	X	X	X																								Brainhack 2020 Brisbane, Brainhack 2020 Ankara, Brainhack 2020 Marburg							1018		106
Saskia		Bollmann						X			X																						X		Traintrack: Git						Provided suggestions on this and the earlier version of this paper.	1019		4
Claire		Bradley						X		X																								X	Member of the Social Team for Asia-Pacific Hub of the 2020 OHBM Hackathon							1022		61
Jesse		Brown																																								1024		162
Augusto		Buchweitz				augustobuch		X	X	X	X	X	X								X		X										X		Brainhack Porto Alegre, Brazil (all editions)	X	X	X				1025		54
Patrick		Callahan																																								1027		193
Micaela	Y.	Chan				Micaela__Chan		X	X	X	X	X																							Brainhack Dallas 2019							1028		86
Bramsh	Q.	Chandio				BramshQ	bramshq	X	X	X		X																							BrainHack Global - Indiana University Bloomington 2018							1029		37
Theresa		Cheng																																								1030		161
Sidhant		Chopra				sidchop		X	X	X		X										X			X										OHBM Brainhack 2020	X			X			1031		137
Ai Wern		Chung						X		X																								X	Brainhack Boston 2019, https://fnndsc.childrens.harvard.edu/brainhack2019/							1032		38
