I would like to be added to the Brainhack Community consortium. I have read and approve of submission of this manuscript for peer review.,First and Last Name,Affiliation,List the Brainhack events that you have been involved in.,Participated in event,Organized an event,Taught at event,ORCID username (optional),Twitter username (optional),GitHub username (optional),OSF username (optional)
Checked,Scott Peltier,"Functional MRI Laboratory, University of Michigan, Ann Arbor, USA","Brainhack EDT - A2 (2014, Co-organizer), BrainHack Americas - A2 (2015, Co-organizer), Brainhack Vienna (2016, attendee), Brainhack Global -A2 (2017,2018, Co-organizer)",Participated,Organized,Taught,0,0,0,0
Checked,Michael Joseph,"Campbell Family Mental Health Research Institute, The Centre for Addiction and Mental Health, Toronto, Canada","BrainHack Toronto 2018, 2019, 2020; BrainHack Donostia 2020; OHBM BrainHack 2020",Participated,Organized,Taught,0000-0002-0068-230X,0,josephmje,0
Checked,Dylan M. Nielson,"Section on Clinical and Computational Psychiatry (CompΨ), National Institute of Mental Health, National Institutes of Health, Bethesda, Maryland",Participant in OHBM Brainhacks from 2017 to 2020. Organized 2 AFNI code sprints based on Brainhack principles. Taught and participated at Neurohackademy in 2018.,Participated,Organized,Taught,0000-0003-4613-6643,shotgunosine,shotgunosine,gzdr5
Checked,Marissa Laws,"Center for the Study of Learning, Georgetown University Medical Center, Washington DC, USA","Brainhack DC 2020, Brainhack DC 2019, Neurohackademy 2020",Participated,Organized,Taught,0000-0002-2482-3285,mlawshp,ml1796,8jg72
Checked,Lorenzo Pasquini,"Neurology Department, Memory and Aging Center, University of California San Francisco",Brainhack San Francisco 2018,Participated,Organized,-,0000-0002-7899-7061,@lollo_pasquini,lollopasquini,0
Checked,Joscelin Rocha Hidalgo,Georgetown University,DC Brainhack 2020,Participated,Organized,Taught,https://orcid.org/0000-0003-3572-5848,@JoscelinRocha,https://github.com/Joscelinrocha,https://osf.io/ytjfb/
Checked,Arshitha Basavaraj,National Institute of Mental Health,"OHBM 2020 Brainhack
Brainhack DC 2020",Participated,Organized,-,https://orcid.org/0000-0002-6984-7969,@arshitha94,https://github.com/Arshitha,0
Checked,Pedro Pinheiro-Chagas,Stanford University,San Francisco 2018,Participated,-,-,0,ppinheirochagas,pinheirochagas,0
Checked,Deena Shariq,"University of Maryland, College Park",Brainhack DC,Participated,-,-,0,deenashariq,0,0
Checked,Sarah Dziura,"Department of Psychology, University of Maryland, College Park, MD, USA",Brainhack DC 2019,Participated,-,-,0000-0002-5072-4299,drdziura,0,w4dfx
Checked,Valentina Borghesani,"Psychology Department, Université de Montréal, Montréal, Canada","San Francisco 2018 and 2019, Montreal 2020",Participated,Organized,-,0000-0002-7909-8631,vborghesani,vborghe,bk3mv
Checked,Viviana Siless,Athinoula A. Martinos Center for Biomedical Imaging - Harvard Medical School - MGH,I co-organized the Boston Brainhack at MIT 2018: https://brainhack-boston.github.io/,-,Organized,-,0,vsiless,vsiless,0
Checked,`xcvzb f,afsdfgfgfds,asdasdasdasdadasd,Participated,Organized,-,asdasd,asdasdsa,0,0
