YYYY-MM-DD,Country,City,Theme/title/topic,lat,lon,Continent
2019-11-14,France,Rennes,Brainhack Global Western France,48.117266,-1.6777926,Europe
2019-11-14,United Kingdom of Great Britain and Northern Ireland,Cambridge,Brainhack Global Oxbridge,52.2042666,0.1149085,Europe
2019-11-14,United States of America,New Haven,Brainhack Global New Haven,41.308274,-72.9278835,North America
2019-11-15,United States of America,Eugene,Brainhack Global Eugene,44.0520691,-123.0867536,North America
2019-11-15,China,Shanghai,Brainhack Global Shanghai,31.230416,121.473701,Asia
2019-11-16,Croatia,Zagreb,Brainhack Gloabl Zagreb,45.8150108,15.9819189,Europe
2019-11-16,Poland,Toruń,Brainhack Global Toruń,53.0137902,18.5984437,Europe
2019-11-16,United States of America,Washington D.C.,Brainhack Global DC,38.9071923,-77.0368707,North America
2019-11-16,United States of America,Dallas,Brainhack Glabal Dallas,32.7766642,-96.7969879,North America
2019-11-22,Sweden,Stockholm,Brainhack Global Stockholm,59.3293235,18.0685808,Europe
2019-12-04,Canada,Montreal,Brainhack Global MTL,45.5016889,-73.567256,North America
2019-12-11,Austria,Vienna,BHG Vienna Evolution and Development,48.2081743,16.3738189,Europe
2019-12-13,Portugal,Lisbon,Brainhack Lisbon,38.7222524,-9.1393366,Europe
2019-12-15,China,Nanning,Brainhack Nanning,22.817002,108.366543,Asia
2020-01-21,Netherlands,Nijmegen,OpenMR Benelux,51.812565,5.837226,Europe
2020-02-20,United States of America,San Francisco,"Brainhack SF: Follow the tracts, dive deep!",37.7749295,-122.4194155,North America
2020-06-16,China,Beijing online,OHBM Brainhack 2020 - Asia Pacific hub,39.9041999,116.4073963,Asia
2020-06-16,Singapore,Singapore online,OHBM Brainhack 2020 - Asia Pacific hub,1.352083,103.819836,Asia
2020-06-16,Australia,Brisbane online,OHBM Brainhack 2020 - Asia Pacific hub,-27.4698,153.0251,Australia
2020-06-16,Belgium,Louvain online,OHBM Brainhack 2020 - Europe. Middle East and Africa hub,50.8798,4.7005,Europe
2020-06-16,Turkey,Ankara online,OHBM Brainhack 2020 - Europe. Middle East and Africa hub,39.925533,32.866287,Asia
2020-06-16,Canada,Montreal online,OHBM Brainhack 2020 - Americas hub,45.5016889,-73.567256,North America
2020-06-16,Mexico,Querétaro online,OHBM Brainhack 2020 - Americas hub,20.5887932,-100.3898881,North America
2020-06-16,United States of America,Austin online,OHBM Brainhack 2020 - Americas hub,30.267153,-97.7430608,North America
2020-06-16,United States of America,Bethesda online,OHBM Brainhack 2020 - Americas hub,33.9214924,-84.0840795,North America
2020-12-01,Turkey,Ankara online,Brainhack Global Ankara,39.925533,32.866287,Asia
2020-12-09,United States of America,Pittsburgh online,Brainhack Global Pittsburgh,40.4406,-79.9959,North America
2020-12-01,Germany,Marburg online,Brainhack Global Marburg,50.8021728,8.7667933,Europe
2020-12-02,Canada,Ontario online,Brainhack Global Ontario,51.2538,-85.3232,North America
2020-12-02,France,Marseille online,Brainhack Global Marseille ,43.296482,5.36978,Europe
2020-12-06,United States of America,Princeton online,Brainhack Global Princeton,40.3430942,-74.6550739,North America
2020-12-11,United States of America,NYC online,Brainhack Global NYC,40.7127753,-74.0059728,North America
2020-12-12,United States of America,DC online,Brainhack Global DC,38.9071923,-77.0368707,North America
2020-12-12,China,Beijing online,Brainhack Global Beijing,39.9041999,116.4073963,Asia
2020-12-01,Ireland,Avoca online,Brainhack Global Avoca,52.8587,-6.2141,Europe
2020-12-12,Croatia,Zagreb online,Brainhacl Global Zagrab,45.8150108,15.9819189,Europe
2020-12-14,Italy ,Padova online,Brainhack Global Padova,45.4064349,11.8767611,Europe
